movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Braid,"Horror,Mystery,Thriller",nm5625526,nm5625526,1660000,0,80745,tt4638148
Denial,"Biography,Drama",nm0413875,"nm2182702,nm0002376",10000000,4073448,9263940,tt4645330
Almost Christmas,"Comedy,Drama",nm0847859,nm0847859,17000000,42065185,42493506,tt4649416
Kingsman: The Golden Circle,"Action,Adventure,Comedy",nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301",104000000,100234838,408803696,tt4649466
Much Ado About Nothing,Drama,nm2588618,"nm2588618,nm2592712",8000000,22549338,22549338,tt4650738
Message in a Bottle,Adventure,nm7010336,nm7010336,30000000,52880016,52880016,tt4650752
Bad Moms,Comedy,"nm0601859,nm0524190","nm0524190,nm0601859",20000000,113257297,180998716,tt4651520
Driving Miss Daisy,"Comedy,Drama",nm7298264,nm0880261,7500000,106593296,106593296,tt4653310
All Saints,Drama,nm0326837,nm4224372,2000000,5802208,5941994,tt4663548
The Return,Adventure,nm0952569,"nm7320679,nm0952569",15000000,501752,5953886,tt4665626
The Immigrant,Documentary,nm7310831,Missing writer data,16000000,2013456,7585011,tt4666530
Fifty Shades of Black,Comedy,nm1639277,"nm0005541,nm0023315",5000000,11686940,22113075,tt4667094
Kevin Hart: What Now?,"Comedy,Documentary","nm0806492,nm1103162","nm0366389,nm1830312,nm5183398,nm0117865",10000000,23591043,23591043,tt4669186
On the Basis of Sex,"Biography,Drama",nm0001460,nm1590589,20000000,24622687,38073377,tt4669788
Loving,"Biography,Drama,Romance",nm2158772,nm2158772,9000000,7710234,12898064,tt4669986
Under the Rainbow,Horror,nm3334026,nm3334026,20000000,18826490,18826490,tt4670270
The Return,"Drama,Thriller",nm5885530,nm5885530,15000000,501752,5953886,tt4671306
Stranded,Documentary,"nm3657098,nm0624561","nm3657098,nm0683103,nm7321002,nm2721036",1900000,0,285593,tt4678134
Collateral Beauty,"Drama,Romance",nm0291205,nm1615610,36000000,31016021,85309093,tt4682786
Lion,"Action,Drama,Romance",nm7326067,nm7326067,12000000,51739495,149570720,tt4685968
Annie,Documentary,nm1162635,Missing writer data,65000000,85911262,139829625,tt4694618
It Comes at Night,"Horror,Mystery",nm4099092,nm4099092,5000000,13985117,19720203,tt4695012
Rust,Documentary,nm3988897,Missing writer data,250000,0,0,tt4696758
The Sitter,Horror,nm2934181,nm2934181,25000000,30542576,38749404,tt4697228
Hunt for the Wilderpeople,"Adventure,Comedy,Drama",nm0169806,"nm0169806,nm0190085,nm1081550",2500000,5205471,23845533,tt4698684
The Scarlet Letter,"Drama,History",nm7341581,"nm7341581,nm6368772",50000000,10359006,10359006,tt4700594
Believe,Drama,nm0225621,nm0225621,3500000,890303,890303,tt4700756
Bumblebee,"Action,Adventure,Sci-Fi",nm1325899,nm5429637,102000000,127195589,465195589,tt4701182
Early Man,"Adventure,Animation,Comedy",nm0661910,"nm0123666,nm2664949,nm0661910",50000000,8267544,45285890,tt4701724
Freedom,Drama,nm1618692,"nm1642359,nm1618692",14500000,0,872757,tt4701906
"To Be Frank, Sinatra at 100","Biography,Documentary,History",nm0621048,Missing writer data,2000000,0,926,tt4704314
Exit Wounds,"Documentary,Drama,War",nm3639724,nm3639724,33000000,51758599,79958599,tt4706692
Red Dog,"Action,Drama,History","nm2141926,nm1393087","nm2141926,nm6849364,nm6482708,nm3637993",9100000,0,20927794,tt4706780
Lumea e a mea,Drama,nm2183781,nm3717156,168000,0,29678,tt4707756
Trash,Drama,nm2762535,nm2505759,12000000,17484,6553186,tt4713454
Last Man Standing,Comedy,nm4909251,nm4909251,67000000,18115927,18115927,tt4722990
Book Club,Documentary,nm7364959,Missing writer data,10000000,68566296,91113683,tt4727712
Robinson Crusoe,"Adventure,Animation,Comedy","nm0823721,nm1062463,nm0562775","nm0214518,nm0661549",13000000,8005586,42446455,tt4731008
American Hero,"Action,Comedy,Drama",nm0522393,nm0522393,1000000,0,26,tt4733536
A Man for All Seasons,"Biography,Documentary,Family",nm0582981,nm7373357,3900000,28350000,28350000,tt4741258
The Call,Thriller,nm5187578,nm5187578,12800000,51872378,69821476,tt4741754
Air Strike,"Action,Adventure,Drama",nm5684993,"nm6858601,nm9984296",65000000,0,516279,tt4743226
The Drop,Documentary,nm3739846,nm5484448,12600000,10724389,19054534,tt4745746
Orphan,Drama,nm0220774,"nm4663240,nm0220774",20000000,41596251,78769428,tt4746516
Unfriended: Dark Web,"Crime,Horror,Mystery",nm0839812,nm0839812,1000000,8866745,16434588,tt4761916
Pitch Perfect 3,"Comedy,Music",nm2586324,"nm0134224,nm0925234,nm3015467",45000000,104897530,185736412,tt4765284
Coming Home,Drama,nm5516261,nm5516261,3000000,32653000,32653000,tt4767526
Quo Vadis?,"Drama,Romance",nm1040774,nm1040774,8250000,30000000,30028513,tt4768504
Forsaken,Adventure,nm5656473,Missing writer data,18000000,0,0,tt4772722
The Promise,"Drama,History",nm0313623,"nm0313623,nm0842523",90000000,8224288,10551417,tt4776998
The Master,Documentary,nm7395580,Missing writer data,37500000,16247159,50647416,tt4777394
LBJ,"Biography,Drama,History",nm0001661,nm2432236,20000000,2468683,2507181,tt4778988
The Meg,"Action,Horror,Sci-Fi",nm0005509,"nm1212988,nm0388377,nm0388375,nm0022709",178000000,145443742,529530715,tt4779682
The Salton Sea,"Crime,Drama,Mystery",nm0127894,nm0127894,18000000,676698,676698,tt4782052
Annie,"Biography,Documentary",nm7401635,Missing writer data,65000000,85911262,139829625,tt4786080
Lights Out,"Drama,Horror,Mystery",nm2497546,"nm2104063,nm2497546",5000000,67268835,148806510,tt4786282
Eli,Comedy,nm6405547,nm6405547,11000000,0,0,tt4786638
Unhinged,Thriller,nm0784805,nm2584654,29000000,0,0,tt4788744
Sisters,"Biography,Documentary,Music",nm3012888,Missing writer data,30000000,87044645,106030660,tt4793074
How to Be a Latin Lover,"Comedy,Drama",nm0547800,"nm0951686,nm7409040",10000000,32149404,62556228,tt4795124
Forsaken,Drama,nm6701121,nm6701121,18000000,0,0,tt4798436
Rough Night,"Comedy,Crime,Thriller",nm3622659,"nm3622659,nm3625953",20000000,22105643,46844357,tt4799050
The Wall,Documentary,"nm7415199,nm4600365,nm7415201,nm7415200",Missing writer data,3000000,1803064,4495262,tt4805936
The Best of Enemies,"Biography,Drama,History",nm0084312,"nm0084312,nm0203448",10000000,10205616,10205616,tt4807408
Love Happens,Drama,nm3463485,nm3463485,18000000,22965110,36133014,tt4809870
Prophecy,Drama,"nm7424414,nm7759864","nm1629916,nm2859856,nm7424414,nm9444900",12000000,22673340,22673340,tt4819134
The Missing,"Action,Crime,Thriller",nm1292891,"nm1292891,nm3035341",65000000,26900336,38253433,tt4823122
Drive,Drama,"nm5230072,nm4553850",nm4553850,15000000,35060689,81357930,tt4824222
The Journey,Drama,nm0358327,nm0060792,500000,19800,19800,tt4826674
Hush,Documentary,nm3460948,nm3460948,1000000,0,0,tt4828062
Red Eye,Horror,nm7370305,"nm7370305,nm7430198",26000000,57891803,96666486,tt4828330
Rebecca,"Drama,Romance",nm3754530,nm3754530,1288000,6000000,6002370,tt4828926
Sultan,"Action,Drama,Sport",nm1804614,nm1804614,11000000,5599781,72989781,tt4832640
Promised Land,Documentary,nm7435824,nm2456195,15000000,7597898,12394562,tt4834728
Remember Me,Comedy,nm3566419,nm3566419,16000000,19068240,56506120,tt4843358
Hidden Figures,"Biography,Drama,History",nm0577647,"nm2284377,nm0577647,nm7446421",25000000,169607287,231771716,tt4846340
Blood Feast,Horror,nm3231736,"nm7391999,nm3231736",1200000,8708,8708,tt4847546
Birth,"Adventure,Documentary",nm7448856,Missing writer data,20000000,5005899,14603001,tt4849322
Baahubali 2: The Conclusion,"Action,Drama",nm1442514,"nm2353436,nm1442514,nm7448575,nm4488268,nm4157919,nm4191232,nm1523325",30000000,18985794,263502914,tt4849438
Friend Request,Horror,nm3749594,nm3749594,9900000,3759078,11310835,tt4859526
Us,Comedy,nm3879025,nm3879025,20000000,175006930,254210310,tt4862056
The Perfect Match,"Comedy,Romance",nm0937306,"nm1393214,nm0362544,nm3276776",5000000,9669521,10182050,tt4871980
Water,Drama,"nm4172962,nm1683947",nm4172962,3000000,5529144,11322573,tt4875184
Rosemary's Baby,Comedy,nm7469599,nm7469600,3200000,33395426,33395426,tt4876464
The Emoji Movie,"Adventure,Animation,Comedy",nm1902232,"nm1902232,nm0796928,nm0925234,nm0388971",50000000,86089513,216562312,tt4877122
Bait,Drama,nm7471041,Missing writer data,35000000,15325127,15471969,tt4878108
Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",nm1291105,"nm2081046,nm1119880,nm0000341",170000000,417719760,1305772799,tt4881806
Burn Your Maps,Adventure,nm1471001,"nm1471001,nm7952088",8000000,0,0,tt4882548
Emily,Documentary,nm7470465,nm7470465,27000,3547,3547,tt4883762
Fair Game,Documentary,nm1809246,nm1809246,50000000,11497497,26097497,tt4893748
Frenzy,Drama,nm1625220,nm1625220,3500000,12600000,12600000,tt4895740
Calendar Girls,Drama,nm1055105,"nm1055105,nm7580249,nm2817166,nm3500540",10000000,31011616,93074616,tt4897908
Breathless,Crime,nm5150818,nm7483553,7000000,19910002,19910002,tt4898344
Anna,Drama,nm0309959,"nm0309959,nm0762256,nm7485239",4357373,0,1200000,tt4898888
The Journey,"Comedy,Drama","nm2016045,nm2358555","nm4169798,nm7486793,nm2016045,nm2358555",500000,19800,19800,tt4900076
The Resurrection of Gavin Stone,"Comedy,Drama,Family",nm0420817,nm0621665,2000000,2303792,2303792,tt4902904
Rush,"Documentary,News",nm7496280,Missing writer data,38000000,26947624,98230839,tt4912936
Lady Bird,"Comedy,Drama",nm1950086,nm1950086,10000000,48958273,78610769,tt4925292
Restoration,Drama,nm6273505,"nm3538318,nm6273505,nm7506519",18000000,4100000,4100000,tt4926752
The Darkness,Thriller,nm2435337,"nm2435337,nm6916151,nm2653170",4000000,10753574,10898293,tt4935746
The Visitor,"Drama,Family,Mystery",nm2241019,nm2241019,4000000,9427026,19174817,tt4938930
Mirrors,Documentary,nm7523656,nm7523656,35000000,30691439,77220596,tt4946644
Kursk,"Action,Drama,History",nm0899121,"nm0734441,nm7527791",40000000,0,4212799,tt4951982
Brothers,Documentary,nm0823430,nm0823430,26000000,28544157,45043870,tt4952376
Brothers,Documentary,nm0823430,nm0823430,13000000,656688,17856688,tt4952376
Jack,"Crime,Drama",nm1037507,nm1037507,45000000,58617334,58617334,tt4955062
Push,Genre Data Missing,nm0077284,Missing writer data,38000000,31811527,49678401,tt4969638
The Sisters Brothers,"Adventure,Comedy,Crime",nm0002191,"nm0002191,nm0081179,nm3981109",38000000,3143056,13143056,tt4971344
All You Need Is Love,"Comedy,Romance","nm5525511,nm0719104","nm4340065,nm0719104,nm5155596,nm5525511,nm0795517,nm6153534",300000,0,3565259,tt4971480
Split,"Horror,Thriller",nm0796117,nm0796117,5000000,138141585,278964806,tt4972582
Anywhere But Here,"Drama,Thriller",nm3583561,nm3583561,23000000,18653615,18653615,tt4973502
Moonlight,Drama,nm1503575,"nm1503575,nm4144120",1500000,27854931,65245512,tt4975722
The Kid,"Biography,Drama,Western",nm0000352,nm6150131,65000000,69688384,69688384,tt4975920
Middle School: The Worst Years of My Life,"Comedy,Family",nm0139867,"nm0101302,nm1376062,nm1289517,nm0666248,nm8032685",8500000,20007149,23311293,tt4981636
The Forest,"Drama,Fantasy,Horror",nm0819965,nm0819965,10000000,26594261,40749230,tt4982356
The Messenger,"Documentary,Family",nm0753393,"nm7556970,nm0753393",6500000,1109660,1744952,tt4984930
The Return,Drama,nm7560856,"nm7560865,nm7560856",15000000,501752,5953886,tt4991702
Housefull,Family,nm7561224,nm3504899,10100000,1183658,18726300,tt4991978
The Square,"Comedy,Drama",nm1128037,nm1128037,1900000,406216,740932,tt4995790
The Square,"Comedy,Drama",nm1128037,nm1128037,1500000,124244,176262,tt4995790
Mandy,"Drama,Thriller",nm5926184,nm5926184,6000000,1214525,1427656,tt4995858
Lovesick,"Drama,Romance",nm1374706,nm1374706,10100000,10143618,10143618,tt4996022
Unfinished Business,Horror,nm3791583,"nm3791583,nm0339517",35000000,10219501,13214051,tt4998626
Remember Me,"Comedy,Drama,Romance",nm1274203,nm0751714,16000000,19068240,56506120,tt4999290
Time to Choose,Documentary,nm2480587,"nm1556822,nm2480587",3500000,29233,29233,tt5001130
"Everything, Everything","Drama,Romance",nm4907810,"nm0328987,nm7567554",10000000,34121140,61603136,tt5001718
The Age of Innocence,Drama,nm7570336,Missing writer data,34000000,32014993,32014993,tt5004902
Dunkirk,"Action,Drama,History",nm0634240,nm0634240,150000000,190068280,499837368,tt5013056
Hush,"Horror,Thriller",nm1093039,"nm1093039,nm2318089",1000000,0,0,tt5022702
Rock Star,"Action,Drama,Romance",nm7584347,"nm4190447,nm7584347",38000000,16991902,19317765,tt5024572
"Three Billboards Outside Ebbing, Missouri","Crime,Drama",nm1732981,nm1732981,12000000,54513740,160191915,tt5027774
Mary Poppins Returns,"Comedy,Family,Fantasy",nm0551128,"nm0871308,nm1341735,nm0551128,nm0217896",130000000,171958438,341528518,tt5028340
The Family,Drama,nm1375634,nm1375634,30000000,36918811,51078541,tt5029482
Charlie's Angels,"Action,Adventure,Comedy",nm0006969,"nm1430632,nm0006969,nm1951398,nm0076166,nm0155069,nm0324578,nm0563301,nm1215164,nm0730850",90000000,125305545,259736090,tt5033998
The Box,"Drama,War",nm7602474,Missing writer data,25000000,15051977,34356760,tt5047858
Get Out,"Horror,Mystery,Thriller",nm1443502,nm1443502,5000000,176040665,255367951,tt5052448
Sicario: Day of the Soldado,"Action,Crime,Drama",nm1356588,nm0792263,35000000,50065850,75885196,tt5052474
Final Destination,Documentary,nm5526683,nm5526683,23000000,53302314,112036870,tt5056454
Network,"Drama,Thriller",nm4733676,"nm4733676,nm4776899",3800000,23689877,23689877,tt5057746
Q,"Drama,Thriller",nm7617934,nm7617934,1200000,255000,255000,tt5068886
Safe Haven,Horror,nm2069599,nm2069599,28000000,71399120,94050951,tt5073094
Dangal,"Action,Biography,Drama",nm4318159,"nm6328029,nm6328031,nm6328030,nm8661566,nm4318159",9500000,12391761,294654618,tt5074352
Irreplaceable,"Comedy,Drama",nm1662707,"nm1662707,nm1928581,nm8303902",600000,0,0,tt5078326
The Favourite,"Biography,Drama,History",nm0487166,"nm1110111,nm7629302",15000000,34366783,94113929,tt5083738
The Visitor,"Drama,Horror,Thriller",nm4372154,nm4372154,4000000,9427026,19174817,tt5085588
Cinderella,Fantasy,nm7633075,"nm7633074,nm7633071",95000000,201151353,534551353,tt5089556
Cinderella,Fantasy,nm7633075,"nm7633074,nm7633071",2900000,85000000,263591415,tt5089556
Jackpot,"Biography,Documentary","nm5368700,nm4776310",Missing writer data,400000,44452,44452,tt5094332
Ant-Man and the Wasp,"Action,Adventure,Comedy",nm0715636,"nm0571344,nm1273099,nm0748620,nm3029372,nm2592245,nm0498278,nm1293367,nm0456158",130000000,216648740,623144660,tt5095030
21,Horror,nm7641690,nm7641690,35000000,81159365,159846429,tt5097012
Hamlet,Drama,"nm0162376,nm7646927",nm0000636,18000000,4501094,7129670,tt5104954
Hamlet,Drama,"nm0162376,nm7646927",nm0000636,2000000,1577287,2419669,tt5104954
Upside Down,"Biography,Documentary,Family",nm7647542,nm7647546,50000000,102118,26387039,tt5105628
The Three Stooges,Documentary,Missing director data,nm7650017,30000000,44338224,54052249,tt5108902
Heist,Action,nm5614101,nm5614101,35000000,23483357,28906817,tt5112932
Heist,Action,nm5614101,nm5614101,8900000,50136,3324131,tt5112932
The Secret Life of Pets 2,"Adventure,Animation,Comedy","nm3646390,nm0719208",nm0528244,80000000,63795655,113351496,tt5113040
Annie,"Drama,Romance",nm3249809,nm3249809,65000000,85911262,139829625,tt5116208
Peter Rabbit,"Adventure,Animation,Comedy",nm0323239,"nm1464577,nm0323239,nm0693229",50000000,115234093,347136477,tt5117670
Adam,"Horror,Thriller",nm1980670,"nm4857746,nm5662482,nm1980670",3200000,2283291,2834485,tt5118062
Home,Documentary,nm7658899,Missing writer data,130000000,177397510,385997896,tt5121236
Home,Documentary,nm7658899,Missing writer data,12000000,0,0,tt5121236
Home,Documentary,nm7658899,Missing writer data,500000,15433,44793168,tt5121236
The Forsaken,"Drama,Horror,Thriller",nm0868857,nm2089382,5000000,6755271,6755271,tt5124556
Good Intentions,"Drama,Romance,Thriller",nm3781779,nm3781779,10000000,0,0,tt5126076
Forsaken,Horror,nm2691863,nm2691863,18000000,0,0,tt5127300
Going the Distance,Comedy,nm3698101,Missing writer data,32000000,17804299,43603990,tt5127484
Down to Earth,Documentary,nm1841034,nm1841034,30000000,64172251,71172251,tt5131716
Paul,Drama,nm0271333,nm0271333,40000000,37412945,101162106,tt5132504
Beyond Borders,Documentary,nm1220703,"nm1220703,nm0963124",60000000,4426297,11427090,tt5134902
Good Luck Chuck,Comedy,nm0426851,nm0426851,25000000,35017297,59183821,tt5138210
Annabelle: Creation,"Horror,Mystery,Thriller",nm2497546,nm2477891,15000000,102092201,305384865,tt5140878
The Road,Documentary,nm6375069,Missing writer data,25000000,8114270,29206732,tt5142610
Glass,"Crime,Horror,Mystery",nm1410503,nm1410503,20000000,111035005,245303505,tt5144236
Circle,"Documentary,Family",nm2271654,"nm3798121,nm1018011,nm2271654",2000000,10024,10024,tt5144638
Indivisible,Documentary,nm7684122,Missing writer data,2700000,3511417,3588305,tt5147828
Earth,"Documentary,Fantasy,Mystery","nm3721431,nm3722813","nm3722813,nm3721431",47000000,32011576,116773317,tt5152918
The Family,"Documentary,Drama",nm2749343,Missing writer data,30000000,36918811,51078541,tt5161028
"Love, Simon","Comedy,Drama,Romance",nm0075528,"nm0074165,nm4170842,nm7698350",10000000,40826341,65520633,tt5164432
Weekend,Horror,nm0411037,"nm0411037,nm2401263",190000,484592,1577585,tt5167782
Sleeper,"Action,Drama,Thriller",nm4080980,nm4080980,2000000,18344729,18344729,tt5169904
The Drop,Documentary,"nm4731168,nm8190656",Missing writer data,12600000,10724389,19054534,tt5177706
Wuthering Heights,"Horror,Romance",nm7194080,"nm7194080,nm0111577",8000000,100915,2721534,tt5184904
Renaissance Man,Documentary,nm9523939,nm0216016,40000000,24172899,24172899,tt5198910
Geroy,"Action,Drama,Romance",nm1631582,"nm7730928,nm6419654",7000000,0,1545121,tt5202654
Columbus,Comedy,nm3848973,"nm1196104,nm3848973",700000,1017107,1110511,tt5203734
Cargo,Drama,nm1190412,nm1190412,4200000,0,313230,tt5207838
Godsend,Sci-Fi,nm6567383,nm6567383,30000000,14334645,16910708,tt5212650
Out of Sight,Documentary,"nm6582929,nm7743857,nm7743858,nm6909817,nm6162759,nm7743854,nm7743855,nm7161296,nm6113325,nm7743856",Missing writer data,48000000,37562568,77562568,tt5216632
Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy",nm0850733,"nm0850733,nm0567112",65000000,167500092,527079962,tt5220122
White Fang,"Adventure,Animation",nm3115348,"nm0518711,nm0513371,nm0296829,nm0597963",14000000,34729091,34729091,tt5222768
The Gunman,Western,nm0896139,Missing writer data,40000000,10664749,18594227,tt5241920
Sahara,Drama,nm7513995,Missing writer data,145000000,68671925,121671925,tt5246762
Paterson,"Comedy,Drama,Romance",nm0000464,"nm0000464,nm0931937,nm3143010",5000000,2141423,10727536,tt5247022
Monsters,Horror,nm7774731,"nm7774731,nm7774733,nm7774734",500000,237301,5639730,tt5253186
Indivisible,Drama,nm2395887,"nm1834298,nm1272760,nm2395887",2700000,3511417,3588305,tt5259496
Trapped,Documentary,nm2929021,"nm1020490,nm2929021",30000000,6916869,6916869,tt5259692
Pinocchio,Documentary,nm0064651,nm0064651,45000000,3681811,31681811,tt5263832
Pinocchio,Documentary,nm0064651,nm0064651,2289247,84300000,84300000,tt5263832
The Messenger,Documentary,nm7784930,Missing writer data,6500000,1109660,1744952,tt5265530
Love Letters,Horror,"nm7788342,nm6003694,nm1953822",nm1953822,550000,5269990,5269990,tt5268278
May,Documentary,nm7791159,Missing writer data,1750000,145540,634803,tt5270722
The Guardian,Documentary,nm7791163,Missing writer data,70000000,55011732,94973540,tt5270724
Snatched,"Drama,Horror,Mystery","nm4569633,nm4568861","nm4568861,nm4569633",42000000,45852178,57852177,tt5271436
Irreplaceable,Drama,nm7794951,nm7794951,600000,0,0,tt5274738
My Best Friend's Wedding,"Comedy,Romance",nm2626095,Missing writer data,46000000,126813153,298923419,tt5275314
The Importance of Being Earnest,Comedy,nm0633542,nm0928492,15000000,8378141,8378141,tt5280954
Limbo,Documentary,"nm1860617,nm4972905",Missing writer data,8300000,2160710,2598224,tt5287022
Eli,Horror,nm1164602,"nm3616958,nm1968372,nm3915456",11000000,0,0,tt5294518
Holly,"Action,Crime,Thriller",nm6854035,nm6854035,3000000,163069,163069,tt5294776
Departure,"Drama,Romance",nm5293193,nm5293193,1100000,0,27561,tt5299312
Glass,"Drama,Sci-Fi",nm4275053,nm4275053,20000000,111035005,245303505,tt5300236
Simon,"Action,Crime,Drama",nm7816722,nm7816722,1300000,4055,1738663,tt5300472
Marshall,"Biography,Crime,Drama",nm0399737,"nm7817658,nm1105617",12000000,10051659,10116816,tt5301662
Paparazzi,"Action,Drama,Romance",nm3779100,nm4455170,20000000,15712072,16612072,tt5303564
The Islands,Adventure,nm0156828,"nm0156828,nm9595468,nm9426686",1200000,0,0,tt5304664
Valentine,Action,"nm7821194,nm5768042",nm3003475,10000000,20384136,20384136,tt5305352
Happy Death Day,"Horror,Mystery,Thriller",nm0484907,nm1245146,5000000,55683845,125010260,tt5308322
Werk ohne Autor,"Drama,History,Romance",nm0003697,nm0003697,1400000,1303747,4331152,tt5311542
Lucy,"Animation,Documentary",nm3440368,nm3440368,40000000,126573960,457507776,tt5313474
Sgt. Stubby: An American Hero,"Adventure,Animation,Family",nm4175844,"nm4175844,nm0831408",25000000,3054285,3645957,tt5314190
The Little Prince,Documentary,nm7831735,nm7831735,77500000,1311213,102028919,tt5317732
Wish Upon,"Drama,Fantasy,Horror",nm0502954,nm3011547,12000000,14301505,23477345,tt5322012
Nerve,"Documentary,History",nm1577810,Missing writer data,20000000,38583626,70652284,tt5324464
Home,"Documentary,Family",nm7838654,nm7838654,130000000,177397510,385997896,tt5327560
Home,"Documentary,Family",nm7838654,nm7838654,12000000,0,0,tt5327560
Home,"Documentary,Family",nm7838654,nm7838654,500000,15433,44793168,tt5327560
Lights Out,Documentary,nm7839341,Missing writer data,5000000,67268835,148806510,tt5328340
Everybody's Fine,Drama,nm4070848,nm7839383,20000000,9208876,9208876,tt5328352
Lean on Pete,"Adventure,Drama",nm0354091,"nm0354091,nm2922439",8000000,1163056,2455027,tt5340300
The Apostle,Animation,nm7712154,Missing writer data,5000000,20733485,21277770,tt5351028
Conspiracy Theory,"Horror,Thriller",nm6167715,"nm6167717,nm6167715,nm6167716",80000000,76118990,142783718,tt5354458
Cargo,Documentary,nm0973527,nm0973527,4200000,0,313230,tt5357254
Head of State,Comedy,nm6855090,"nm5796652,nm5796653",35200000,37788228,38283765,tt5358844
The Hurricane Heist,"Action,Adventure,Crime",nm0003418,"nm0934698,nm1144003,nm0277759,nm0204313",40000000,6115824,30963684,tt5360952
The Return,"Drama,Family",nm7874326,"nm7874326,nm0702698",15000000,501752,5953886,tt5368500
On the Road,Documentary,nm5449087,Missing writer data,25000000,720828,9313302,tt5389486
Addicted,Comedy,nm7864189,"nm7886983,nm7864189",5000000,17390770,17499242,tt5396774
Happiness,Drama,nm0848992,nm0848992,3000000,2746453,5746453,tt5424024
Shanghai,Drama,Missing director data,"nm2548697,nm7891913",50000000,46425,15505922,tt5424576
Wonderland,Comedy,"nm1650373,nm2979103","nm2948393,nm3136748,nm3286715",5500000,1060512,1060512,tt5430020
The Secret,"Drama,Mystery,Romance",nm1205568,"nm5079673,nm1205568,nm7902012,nm5079682",3500000,0,0,tt5436486
Mama,Drama,nm1823285,nm1823285,15000000,71628180,148095566,tt5437970
Logan Lucky,"Comedy,Crime,Drama",nm0001752,nm8362793,29000000,27778642,44264271,tt5439796
Life,"Horror,Sci-Fi,Thriller",nm1174251,"nm1014201,nm1116660",75000000,64062587,73521587,tt5442430
Life,"Horror,Sci-Fi,Thriller",nm1174251,"nm1014201,nm1116660",58000000,30234022,100929666,tt5442430
Hide and Seek,"Comedy,Crime",nm6408301,Missing writer data,25000000,51100486,123696741,tt5457656
Crossroads,Genre Data Missing,nm0840594,Missing writer data,12000000,37188667,57000000,tt5459744
Crossroads,Genre Data Missing,nm0840594,Missing writer data,500000,0,0,tt5459744
Rockaway,"Adventure,Drama",nm2664322,nm2664322,2000000,0,0,tt5462288
The Big Sick,"Comedy,Drama,Romance",nm0795290,"nm5077137,nm3529685",5000000,42872467,53972860,tt5462602
Deadpool 2,"Action,Adventure,Comedy",nm0500610,"nm1014201,nm1116660,nm0005351,nm0509580,nm1436760",110000000,324591735,786680557,tt5463162
Akira,"Action,Thriller",nm1436693,"nm4821541,nm1436693,nm6741315,nm8722073",8000000,19585,19585,tt5465370
Superstar,Comedy,nm7931479,Missing writer data,14000000,30628981,30628981,tt5473848
Valentine,Romance,nm7931920,Missing writer data,10000000,20384136,20384136,tt5474224
Loving,"Drama,Romance",nm1878916,"nm1878916,nm4645268",9000000,7710234,12898064,tt5479616
Cargo,Drama,nm3899315,"nm3899315,nm7624544",4200000,0,313230,tt5492502
Split,Drama,nm4197711,nm4197711,5000000,138141585,278964806,tt5495666
Coming Home,Drama,nm1556194,nm1556194,3000000,32653000,32653000,tt5496554
The Watcher,"Horror,Thriller",nm0745213,nm0745213,33000000,28946615,47267829,tt5497458
Dark Blue,Adventure,nm1444606,nm1444606,15000000,9237470,12262065,tt5502330
The Square,Family,nm7962845,nm7962845,1900000,406216,740932,tt5511124
The Square,Family,nm7962845,nm7962845,1500000,124244,176262,tt5511124
Forget Me Not,Documentary,nm3138911,Missing writer data,1300000,0,13465,tt5512456
Walter,Documentary,nm3422975,Missing writer data,700000,0,0,tt5513466
Bright,"Action,Crime,Fantasy",nm0043742,nm0484840,90000000,0,0,tt5519340
Panic Room,"Action,Drama,Mystery",nm6825011,"nm6825012,nm6825011",48000000,95308367,196308367,tt5521836
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy","nm0002120,nm0002653","nm2060755,nm0006782,nm0677535",132900000,54858851,170293899,tt5523010
Proof,"Comedy,Mystery,Sci-Fi",nm7981487,nm2035212,20000000,7535331,8284331,tt5531336
The Host,Documentary,nm1656211,nm1656211,50000000,26623701,64477051,tt5537146
Trust,Drama,nm0071003,nm0071003,4000000,120016,120016,tt5541186
Stuck,Comedy,nm0035395,"nm1642591,nm2239914",5000000,67505,67505,tt5564792
Hawaii,Drama,nm1028575,"nm1028575,nm0270606,nm1410980,nm2534644",15000000,34562222,34562222,tt5566714
Much Ado About Nothing,"Comedy,Romance",nm1977735,nm0000636,8000000,22549338,22549338,tt5569310
Tarnation,"Comedy,Horror",nm2730700,nm2730700,400000,592014,1162014,tt5569344
"I, Tonya","Biography,Comedy,Drama",nm0318916,nm0737216,11000000,30014534,53797409,tt5580036
The Hate U Give,"Crime,Drama",nm0863387,"nm0920108,nm8021571",23000000,29719483,35067665,tt5580266
The Shape of Water,"Adventure,Drama,Fantasy",nm0868219,"nm0868219,nm0961827",19500000,63859435,195790794,tt5580390
The Return,Documentary,"nm1751762,nm1915721","nm1751762,nm1915721,nm2740351",15000000,501752,5953886,tt5591342
Turbulence,"Action,Drama,Thriller",nm3279528,nm3279528,55000000,11532774,11532774,tt5592256
Driven,"Biography,Drama,Thriller",nm0358327,nm0060792,72000000,32616869,54616869,tt5592796
The Guardian,"Action,Mystery,Sci-Fi",nm8035274,nm8035274,70000000,55011732,94973540,tt5594956
