movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Grown Ups,Comedy,nm0240797,"nm0001191,nm0937748",75000000,162001186,272223430,tt1375670
Gunless,"Action,Comedy,Drama",nm0680889,nm0680889,9900000,458054,458054,tt1376195
The Adventurer: The Curse of the Midas Box,"Adventure,Family,Fantasy",nm0628146,"nm0995597,nm0003953,nm2239151",25000000,0,0,tt1376213
The Adjustment Bureau,"Romance,Sci-Fi,Thriller",nm1079776,"nm1079776,nm0001140",50200000,62495645,126931325,tt1385826
Cop Out,"Action,Comedy,Crime",nm0003620,"nm0191523,nm0191502",37000000,44875481,55909910,tt1385867
The Other Guys,"Action,Comedy,Crime",nm0570912,"nm0570912,nm0376260",100000000,119219978,170936470,tt1386588
Suicide Squad,"Action,Adventure,Fantasy",nm0043742,"nm0043742,nm1694619",175000000,325100054,746059887,tt1386697
Total Recall,"Action,Adventure,Mystery",nm0936482,"nm0934483,nm0093560,nm0795953,nm0639321,nm0693956,nm0325778",125000000,58877969,211856088,tt1386703
Total Recall,"Action,Adventure,Mystery",nm0936482,"nm0934483,nm0093560,nm0795953,nm0639321,nm0693956,nm0325778",65000000,119394839,261400000,tt1386703
Downsizing,"Drama,Sci-Fi",nm0668247,"nm0668247,nm0852591",68000000,24449754,54462971,tt1389072
We Bought a Zoo,"Comedy,Drama,Family",nm0001081,"nm0112459,nm0001081,nm3349167",50000000,75624550,118729073,tt1389137
When the Bough Breaks,"Crime,Drama,Horror",nm0143984,nm3357261,10000000,29747603,30768449,tt1389139
In the Heart of the Sea,"Action,Adventure,Biography",nm0000165,"nm0495378,nm0415425,nm0798646,nm1090930",100000000,25020758,89693309,tt1390411
The Lost Medallion: The Adventures of Billy Stone,"Adventure,Family,Fantasy",nm1644039,nm1644039,2500000,549632,549632,tt1390539
Why Did I Get Married Too?,"Comedy,Drama,Romance",nm1347153,nm1347153,20000000,60095852,60831067,tt1391137
The Hunger Games,"Action,Adventure,Sci-Fi",nm0002657,"nm0002657,nm1056741,nm0712753",80000000,408010692,677923379,tt1392170
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",nm0004306,"nm0004306,nm0565068,nm0490147",150000000,153636354,370098020,tt1392190
